country_tag,country_name,country_orig_desc
BUR,Burma,"It took many bloody conflicts to establish the Third Burmese Empire, and it seems that the struggle is far from over as the British Empire makes its ambitions known. Will Burma become yet another British colony, or will it stand strong against the foreign invaders?"
BYE,Belarus,
BYZ,Byzantium,
CAL,California,
CAM,Cambodia,"Cambodia has fallen far since the golden age of the Khmer Empire. Can the Khmer state rise once more, or will this dark age last forever?"
CAN,Canada,
CAS,Castile,
CAT,Catalonia,
CAY,Cayor,
CHE,Cherokee,
CHI,China,"The Qing Dynasty has ruled in China for almost two hundred years and controls a third of the world's population, after the apex of its power under the Qianlong Emperor. However, the spread of opium and the interference of the European powers threatens the Dynasty’s period of internal balance. What will the future of China look like?"
CHK,Chokwe,
CHL,Chile,"Chile is embarking on a process of political centralization, concentrating power into the hands of the government and the Church. What does the future hold for Chile?"
CHP,Champassak,
CLM,Colombia,"With the dissolution of Gran Colombia in 1830, New Granada stands alone and divided between its liberal and conservative factions. Will Colombia achieve greatness once more?"
CMI,Chiang Mai,
CNG,Congo,
COB,Saxe-Coburg-Gotha,
COL,Columbia,
COM,Comanche,
COS,Costa Rica,
CRE,Crete,
CRI,Crimea,
CRO,Croatia,
CSA,Confederate States of America,
CUB,Cuba,Cuban relations with their Spanish overlords have become strained. Calls for representation in the Spanish parliament and resistance to the abolition of slavery have met with hostility from Madrid. Is a Cuban revolution inevitable?
CYP,Cyprus,
CZH,Czechoslovakia,
DAG,Dagestan,
DAH,Dahomey,
DAI,Dai Nam,"A newly reunited Vietnam emerges from centuries of division and strife. Will Dai Nam consolidate itself and build a great nation, or is it destined to be divided once more?"
DAK,Dar al Kuti,
DEN,Denmark,"Across Denmark new liberal and national pushes are changing the face of politics. Meanwhile they are also undergoing a golden age of art, literature and philosophy. What will the rest of the century bring?"
DES,Deseret,
DFR,Darfur,
DFT,Dar Fertit,
DKT,Dakota,
DLA,Duala,
DNK,Dinka,
DOM,Santo Domingo,
DZG,Danzig,
ECU,Ecuador,"Conflict brews in South America, and Ecuador is embroiled in it. Can Ecuador avoid being assimilated by its more powerful neighbors?"
EGY,Egypt,"Under Muhammad Ali, Egypt has become independent from the Ottoman Empire in all but the most technical respect. Recent gains in Syria however are sure to incite a response from the Sublime Porte. Can Egypt survive the coming storm?"
ELS,El Salvador,
ENG,England,
EST,Estonia,
ETH,Ethiopia,
EWE,Ewe,
FIN,Finland,Finland has thus far enjoyed relative autonomy under the Russian Empire. But the whims of the Tsars are fickle; how will Russian rule shape Finland?
FJI,Fiji,
FLA,Flanders,
FNG,Fang,
FRA,France,It has been six years since Charles X was tossed from the throne in favor of Louis Phillipe. The constant threats to the crown cause Louis Phillipe to rule with an ever tightening grip. Will France embrace a more liberal future?
FRM,Frankfurt,
FSA,Free States of America,
FTJ,Futa Jallon,
FTR,Futa Toro,
GAL,Galicia-Lodomeria,
GAM,Gambia,
GBR,Great Britain,"Great Britain has roared into the 19th century, rapidly becoming the world's first industrial nation. The massive empire is kept afloat by the labor of colonies across the globe. However, King William IV is close to death and who knows what sort of era the next monarch will usher in."
GCO,Gran Colombia,
GEO,Georgia,
GER,Germany,
GGO,Gogo,
GGR,Greater Germany,
GJM,Gojjam,
GLC,Gold Coast,
GLD,Geledi,
GRE,Greece,"Through a bloody struggle, Greece has won its independence from the Ottoman Empire. Can Greece expand its borders?"
GRI,Guarani,
GRN,Greenland,
GUA,Guatemala,
GWA,Gwalior,
HAI,Haiti,"Under Jean-Pierre Boyer, Haiti has come to rule over all of Hispaniola. Can this nation of former slaves achieve liberty, or is Haiti doomed to despotism?"
HAM,Hamburg,
HAN,Hanover,"Though Hanover is currently ruled by the British monarch, differences in inheritance laws mean that the end of the union is likely approaching. What new path will Hanover walk?"
HAR,Harar,
HAU,Damagaram,
HAW,Hawaii,
HDJ,Hedjaz,"As the Ottoman Empire declines, the future of Arabia becomes ever more uncertain. Will a new power emerge from the desert?"
HEK,Hesse-Kassel,
HES,Hesse,
HHE,Hehe,
HLA,Halia,
HMB,Hemba,
HND,India,
HOB,Hobyo,
HOL,Holstein,
HON,Honduras,
HRO,Herero,
HUN,Hungary,
HYD,Hyderabad,
IBE,Iberia,
IBO,Igbo,
ICL,Iceland,
IND,Indore,
ION,Ionian Islands,"The Islands have passed from Ottoman to Russian, French and finally British control within the past 30 years. Can the Islanders achieve Enosis with the new Greek state or will they seek a new path forward under British guidance?"
IRC,Iron Confederacy,
IRE,Ireland,
IRQ,Iraq,
ISQ,Isaaq,
ISR,Israel,
ITA,Italy,
JAI,Jaipur,
JAM,Jamaica,
JAN,Jan Mayen,
JAP,Japan,"The strength of the ruling Tokugawa shogunate is failing, with famine and unrest spreading all across the country. The Edo period has lasted in Japan for over 200 years, will it be able to last for 200 more?"
JAS,Jaisalmer,"Almost all of India is now under the direct or indirect control of the British East India Company. The Nawabs of the princely states still exert a strong degree of rule over their territories, but ultimately answer to the Company. Will India ever be free from British rule?"
JAV,Java,
JLF,Jolof,
JOD,Jodhpur,
JOH,Johore,Johor occupies a precarious position as both the British and the Dutch greedily eye their territory. Will Johor manage to retain what little sovereignty it has left?
KAL,Kalat,
KAS,Kashmir,
KAZ,Kazakhs,
KBA,Kuba,
KBD,Kabadougou,
KBU,Kaabu,
KFA,Kaffa,
KHI,Khiva,"In defiance of both Persia and Russia, Khiva is an independent power flourishing under the rule of the Khan. Can Khiva protect its independence?"
KKY,Kikuyu,
KNG,Kong,
KNK,Kanak,
KOK,Kokand,Kokand struggles with disunity and discord within the Khan's court. Can Kokand become a dominant power in Central Asia?
KON,Kongo,
KOR,Korea,"Korea under the Joseon dynasty looks inward, consumed by its factional politics. Will changing times force Korea to consider the outside world?"
KRA,Krakow,"The legacy of the Polish people rests heavily on the shoulders of the Free State of Krakow, distrusted by its constituting powers and occupied by Austria. Can a new Polish state rise from the ashes once again?"
KRG,Karagwe,
KRT,Kaarta,
KRU,Kru,
KSN,Kasanje,
KTI,Kutai,
KUK,Danubian State,
KUT,Kutch,
KZM,Kazembe,
LAD,Ladakh,
LAN,Lanfang,The Republic of Lanfang was established by a democratic syndicate of Chinese miners hoping to exploit the gold reserves of Borneo. Can Lanfang resist the advances of the Dutch and achieve the prosperity it seeks?
LAO,Laos,
LAT,Latvia,
LBA,Luba,
LGA,Lega,
LIB,Liberia,
LIP,Lippe,
SCM,Schaumburg-Lippe,
HOH,Hohenzollern,
SCW,Schwarzburg,
LIT,Lithuania,
LKT,Lakota,
LND,Lunda,
LNG,Loango,
LOM,Lombardia,
LUA,Luang Prabang,"Once the seat of the mighty Kingdom of Lan Xang, Luang Prabang is a shadow of its former self. Split between the regional powers of Dai Nam and Siam, can the Lao people emerge strong and independent?"
LUB,Lübeck,
LUC,Lucca,"Torn from their rightful Parman lands, the house of Bourbon-Parma was granted Lucca until they could reclaim their rightful throne within Parma upon the death of Marie Louise. With Italian nationalism on the rise, how long can this aberration survive?"
LUO,Luo,
LUX,Luxembourg,
LZO,Barotse,
MAD,Madagascar,
MAK,Makran,
MAN,Manhattan Commune,
MAY,Maya,
MCH,Manchuria,
MCR,Micronesia,
MDK,Mandinka,
MEC,Mecklenburg,
MST,Mecklenburg-Strelitz,
WLD,Waldeck,
MEI,Saxe-Meiningen,
MEW,Mewar,
MEX,Mexico,Tension between Mexico and the newly declared Texas Republic has turned into all out war. Will Mexico reconquer Texas and return to the status quo?
MGL,Mongolia,
MJT,Majerteen,
MKT,Miskitia,
MNB,Mangbetu,
MNC,Manica,
MOD,Modena,"The Duchy of Modena is both ruled by, and politically subservient to, the Hapsburgs and the Austrian Empire. Will Modena shake off these chains of family loyalty, or do the ties that bind restrict too much?"
MOL,Moldavia,"Calls for Romanian unification and political independence complicate regional politics, as both Russia and the Ottomans have an interest in enforcing the status quo. Can Romania win its freedom?"
MON,Montenegro,
MOR,Morocco,"No longer under Ottoman protection, Morocco is vulnerable to French and Spanish expansionism. Can Morocco survive the imperialist onslaught?"
MOS,Mossi,
MSH,Mashona,
MSI,Masai,
MSK,Maseko,
MSN,Massina,
MTB,Matabele,
MTC,Métis,
MUG,Hindustan,
MYS,Mysore,
NAG,Nagpur,
NAH,Anahuac,
NAL,Natalia,
NAM,Nama,
NAS,Nassau,
NAV,Navarra,
NEJ,Nejd,
NEN,New England,
NEP,Nepal,
NET,Netherlands,"The Netherlands lost Belgium to revolution six years ago and while still economically stable, their rate of industrialization is slow compared to some of their neighbors. Will the Netherlands be able to emerge as a powerhouse of the 19th century?"
NEW,Newfoundland,
NGF,North German Federation,
NIC,Nicaragua,
NOR,Norway,"Norway has spent centuries under Danish and Swedish rule, but now dreams of sovereignty. What will it take for Norway to win its independence?"
NRU,Nauru,
NTO,Ngāti Toa,
NTU,Ngāi Tahu,
NUE,Nuer,
NVJ,Navajo,
NYM,Nyamwezi,
NZL,New Zealand,
NZP,Nimíipuu,
OLD,Oldenburg,
OMA,Oman,"Ruling over both Oman and Zanzibar, the Sultanate is establishing an intercontinental empire. Can Oman remain united?"
ORA,Oranje,
ORG,Oregon,"Currently under relatively autonomous administration, both the Hudson Bay Company and the US government have set their eyes on the disputed Columbia district. Will either power succeed, or will an independent Oregon emerge?"
ORI,Orissa,
OUA,Oualata,
OVM,Ovimbundu,
OYO,Oyo,
PAN,Punjab,"The Sikh Empire is in a period of conquest, winning engagement after engagement. But what does the future hold for this empire?"
PAP,Rome,"Though the political power of the Catholic Church has waned over the centuries, the Pope still presides over the Papal States. Does faith still rule the hearts of men?"
PAR,Parma,"The Congress of Vienna confirmed the Rule of Napoleon's second wife Marie Louise over the Duchy until her death. In this time of nationalism and upheaval, will she be able to hold on to her lands?"
PAT,Mapuche,
PER,Persia,Persia is still reeling from the loss of several territories to Imperial Russia at the beginning of the century. Will they be able to come back and reclaim its place as a great power?
PEU,Peru,"Peru and Bolivia are close to the creation of a new confederation, but can the two countries come to an agreement? Will such a union be formed?"
PHI,Philippines,
PLC,Poland-Lithuania,
PLY,Tahiti,
PNM,Panama,
POL,Poland,
POM,Pomerania,
POR,Portugal,"It has been just two years since the end of the Portuguese Civil War and once again Queen Maria II sits the throne. Portuguese colonies stretch across the world. Now that the internal strife has been dealt with, what will the rest of the century bring?"
PPU,Papua,
PRG,Paraguay,
PRU,Prussia,Prussia managed to gain large swathes of territory in the Napoleonic wars and has spent the last few years making startling reforms across the country. Will Prussia continue along this path and perhaps unite Germany?
PCO,Puerto Rico,
QUE,Quebec,"Once the colony of New France, Lower Canada has fallen under British rule. Tensions between the predominantly French population and the colonial government threaten to escalate in the near future, with little chance of peaceful resolution. Will Quebec win its freedom?"
REB,Rebels,
REV,Revolutionary,
ROM,Romania,
RUS,Russia,"Tsar Nicholas I started his rule by crushing a revolt and now rules Russia in a vise-like grip. He espouses the doctrines of Orthodoxy, Autocracy and Nationality. Will this authoritarian Russia thrive in the 19th century or will a new, different Russia emerge?"
RUT,Ruthenia,
RWD,Rwanda,
SAF,South Africa,"Originally a Dutch trading post, the Cape Colony has recently become a British Crown Colony with most of its former autonomy curtailed. Now, tensions are rising between the British crown and the Boer states to the north, while in the east, the power of the Zulu Empire is growing. How will the Cape Colony weather the struggles ahead?"
SAR,Sardinia-Piedmont,"In Sardinia-Piedmont reactionary anti-French monarchs have led the country for the past thirty years, encouraging the return of the nobility and the church while disbanding the Napoleonic reforms. Will this trend continue? Or will a more liberal nation emerge?"
SAX,Saxony,
SCA,Scandinavia,
SCH,Schleswig,
SCN,Scania,
SCO,Scotland,
SDM,Sidamo,
SEQ,Indian Territory,
SER,Serbia,"Serbia has fought hard for its independence, and will surely have to continue its struggle to retain it. Wedged between great powers, will Serbia become the powder keg of Europe?"
SGF,South German Federation,
SGU,Segou,
SHI,Shimla,
SHW,Shewa,
SIA,Siam,Siam has established itself as the dominant regional power in South-East Asia under the Rattanakosin dynasty. But will Siam manage to reform its economy and society for the modern age?
SIC,Two Sicilies,"Political repression of both liberals and Sicilian separatists is proving ineffective, with both movements moving underground and gaining supporters. What will the Two Sicilies look like after the situation inevitably comes to a head?"
SIK,Sikkim,
SIL,Sierra Leone,
SIN,Sindh,
SKH,Sakhalin,
SLO,Slovenia,
SLV,Slovakia,
SNG,Sangu,
SOK,Sokoto,"Under the banner of the Fulani Jihad, the Sokoto Caliphate is expanding rapidly. Can Sokoto unite West Africa and resist the Western powers?"
SPA,Spain,"The young Queen Isabella rules a divided Spain, with liberal and conservative factions at each other's throats. Will the Queen be a mere puppet in this struggle, or will she take a more active role?"
SRR,Serer,
SSU,Susu,
SWE,Sweden,"After losing Finland and gaining Norway in a personal union, Sweden has begun the slow process of industrialization, while also becoming more liberal in some ways. What does the future of Sweden hold?"
SWI,Switzerland,"The Congress of Vienna has recognized Switzerland as a neutral power, affording some degree of safety in the theatre of European politics. Will Switzerland preserve its neutrality, or strike a different path?"
TBI,Tibesti,
TEX,Texas,The newly declared Republic of Texas fights a seemingly impossible war against its Mexican overlords. Will a miracle save the Lone Star State?
TGR,Tigray,Ethiopia is in the midst of the Age of Princes. The Emperor in Gondar has no effective power and local rulers divide the country between themselves. Will the empire ever be reunited?
TIB,Tibet,"Tibet exists under the oppressive boot heel of the Qing Dynasty, can it perhaps extricate itself from these circumstances?"
TKE,Teke,
TNG,Tonga,
TPG,Heavenly Kingdom,
TPS,Toposa,
TRA,Travancore,
TRE,Trieste,
TRI,Tripolitania,"Following a long period of de facto independence, Tripolitania has once again fallen under Ottoman rule. Will the Barbary Pirates sail again?"
TRK,Turkana,
TRN,Transvaal,
TRS,Transylvania,
TRZ,Trarza,
TSW,Tswana,
TUA,Tuat,
TUN,Tunis,"After being forced to end its sponsorship of piratical raids, the Tunisian economy has taken a turn for the worse. Can the Bey restore prosperity?"
TUR,Turkey,"The Ottoman Empire has been embroiled in various wars through the beginning of the 19th century, and while some reforms have been attempted, more will be needed to prevent the decline of this empire."
TUS,Tuscany,"The unpopular Duke Leopoldo seeks to liberalize the Grand Duchy, but faces great opposition to his rule. How will Tuscany fare as liberalism and nationalism compete over the hearts and minds of Italians?"
UBD,United Baltic Provinces,
UCA,Central America,The Federal Republic consists of provinces which would largely prefer to be independent. Can Central America hold together?
UKR,Ukraine,
ULS,Ulster,
URU,Uruguay,
USA,America,"The United States of America has asserted the Americas' right to independence from European powers. However, the nation is also in the process of forcibly removing thousands of Native Americans from their homelands, and an intense debate rages between the states on the subject of slavery. What will the future for the United States look like?"
VEN,Venice,
VIE,Vientiane,
VNT,Vanuatu,
VNZ,Venezuela,"Now independent from both Spain and Gran Colombia, Venezuela must carve out its own destiny. Can a stable government be formed, or is Venezuela doomed to be ruled by a succession of caudillos?"
WAD,Wadai,
WAL,Wallachia,"Calls for Romanian unification and political independence complicate regional politics, as both Russia and the Ottomans have an interest in enforcing the status quo. Can Romania win its freedom?"
WBL,Griqualand,
WEI,Saxe-Weimar,
WES,Westphalia,
WIN,West Indies,
WLG,Welega,
WLL,Wallonia,
WLO,Wello,
WLS,Wales,
WSG,Warsangali,
WUR,Württemberg,
XIN,Uyghuristan,
YEM,Yemen,
MAH,Mahra,
KAT,Kathiri,
ZAI,Azal,
LAH,Lahej,
JAB,Jabal Shammar,
BHN,Bahrain,
YKA,Yaka,
YUG,Yugoslavia,
ZAN,Zanzibar,
ZND,Azande,
ZUL,Zulu,
SMI,Sapmi,
MLT,Malta,
ULR,Uluru,
MCO,Michoacán,
TWT,Tawantinsuyu,
BSS,Bassa,
TIR,Tiris,
KSS,Kissi,
GAO,Gao,
TIV,Tivland,
SRA,Sara,
EQU,Equatoria,
BJA,Beja,
NBA,Nuba,
SUD,Sudan,
SKM,Sukuma,
CHW,Chewa,
LMW,Lomwe,
MKU,Makua,
SNA,Sena,
BTG,Batonga,
XHO,Xhosa,
UYA,Uyao,
PRM,Perm,
HZJ,Hazarajat,
TRC,Turkmenia,
SIB,Siberia,
YAK,Yakutia,
ASM,Assam,
MNP,Manipur,
TOB,Toba,
KLT,Kalimantan,
HTH,Hathawaddy,
KRN,Karen,
KHM,Khmu,
KHN,Kachin,
AIN,Ainu Mosir,
EZO,Ezo,
QIA,Qian,
FRS,Formosa,
YUN,Yunnan,
YUE,Yue,
OAX,Oaxaca,
AYM,Aymara,
WYU,Wayuu,
TPI,Tupinamba,
PUE,Pueblo,
NNV,Nunavut,
NVL,Navajoland,
ATB,Athabaska,
CSC,Cascadia,
IRO,Haudenosaunee,
MSC,Muscogee,
UTE,Ute,
APC,Apache,
CCM,O'odham Country,
ORN,Orinoco,
SRB,Sorbia,
YUC,Yucatán,
RIO,Río Grande,
PNI,Piratini,"The newly created state of Piratini, boldly declares its independence against Brazil, but how long can the fledgling nation last?"
CEY,Ceylon,
HBC,Hudson Bay Company,"The Hudson Bay Company is prepared to protect its monopoly on the fur trade by any means necessary. Agreements are made and broken with the First Nations as the Company sees fit, with little regard to any motive but profit. Will ruthlessness be enough to safeguard the Company?"
ONT,Ontario,"Emboldened by rising tensions in Lower Canada, the people of Upper Canada prepare to resist the colonial government. Will Ontario win its freedom?"
NBS,New Brunswick,"The colony of New Brunswick is establishing a thriving shipbuilding industry, with colonists arriving from Scotland and Ireland to work with timber. Will New Brunswick lead a united Canada?"
NSW,New South Wales,"In its transition from penal colony to Crown Colony, New South Wales has seen its territory reduced as the other provinces gained their own administrations. What does the future hold for Australia?"
WAS,Western Australia,"The Swan River colonists impose upon the traditional lands of the aboriginal people, culminating in the Pinjarra massacre only two years ago. How will the colony settle this conflict?"
SAS,South Australia,"South Australia was granted its own administration only two years ago, separating from New South Wales. What does the future hold for Australia?"
UNT,United Tribes,"The United Tribes have declared their sovereign independence, though in truth they are at the mercy of the British Empire. Can the British be trusted to respect their treaties with the Maori?"
NNG,Noongar,
GML,Gamilaraay,
TAS,Tasmania,Van Diemen's Land is the primary penal colony in British Australia. What does the future hold for this colony of convicts?
ZIM,Zimbabwe,
BLH,Baluchistan,
MAL,Mali,
OCC,Occitania,
TUV,Tuva,
COR,Corsica,
TNS,Tungus,
FER,Kamchatka,
IUS,Kazan,
NCA,Mountain Republic,
DON,Don Cossack Host,
SYR,Syria,
EOT,Emirate of Transjordan,
LEB,Lebanon,
GNG,Da Cheng,
HNA,Hunan,
AHU,Anhui,
ZHI,Zhili,
SHN,Shanxi,
GUI,Guizhou,
SIH,Sichuan,
SHA,Shandong,
XIB,Xibei,
MUI,Muisca,
ALT,Los Altos,
AFS,Free State,
GNI,Guarani,
SAH,Sahrawi,
DEI,Dutch East Indies,
ARP,Arapaho,
PWN,Pawnee,
BLF,Niitsitapi,
TRH,Turkestan,
UOM,Michigan,
SAK,Siak,
PON,Pontianak,
SMB,Sambas,
JMB,Jambi,
YOG,Yogyakarta,
BTN,Buton,
SEL,Selangor,
PRK,Perak,
SRK,Surakarta,
SLW,Sulawesi,
TID,Tidore,
STG,Sintang,
BNJ,Banjar,
SUL,Sulu,
THL,Tehuelche,
SLK,Selk'nam,
NVS,Nova Scotia,
SMS,Samos,
CHC,Chechnya,
CIR,Circassia,
MGD,Maguindanao,
ASS,Assyria,
CTF,Council of Three Fires,
KLM,Kalmykia,
